Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101261,The Assessment Foundation CIC,1116,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101285,Siemens Financial Services Limited,1030,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,102593,AP Cymru Limited t/a MPCT,840,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,10-May-18,130280,Portal Training Limited t/a Portal Educational Training Providers,585,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,10-May-18,130510,Chubb Fire & Security Limited,834.5,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,555.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,728.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,618.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,658.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,668.67,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,618.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,All Care (South Wales) Limited,658.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Annwyl Limited t/a Bluebird Care,673.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Annwyl Limited t/a Bluebird Care,655.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Annwyl Limited t/a Bluebird Care,732.21,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Annwyl Limited t/a Bluebird Care,608.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,GJ Care & Training Limited,558.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,GJ Care & Training Limited,622.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,GJ Care & Training Limited,617.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,647.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,738.65,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,604.1,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,523.89,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,527.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,636.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,586.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,796.45,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,644.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,570.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,604.1,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,651.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,215489,Willowmere Home Care Agency Limited,678.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,216179,All Care (South Wales) Limited,728.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,216179,All Care (South Wales) Limited,553.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,216179,All Care (South Wales) Limited,728.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,216179,All Care (South Wales) Limited,553.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,217909,All Care (South Wales) Limited,505.29,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,217909,GJ Care & Training Limited,699.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,217909,Everycare (Cardiff) Limited,1021.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,217909,Everycare (Cardiff) Limited,941.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,217909,Everycare (Cardiff) Limited,855.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,218321,GJ Care & Training Limited,570.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,218419,All Care (South Wales) Limited,680.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,218419,All Care (South Wales) Limited,680.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10-May-18,218419,Annwyl Limited t/a Bluebird Care,625.01,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10-May-18,325325,Philips Lighting UK Limited,1347.52,Revenue
