Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Glasallt Fawr Camphill Centre,1560.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1562.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1223.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Llysywaun Limited t/a Bayview Lodge Nursing Home,1579.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Ocean Community Services Limited t/a Westminster Court Care Home,1116.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,2112.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,992.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited T/A Oaklands,1030.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited t/a Sycamore House,2026.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited t/a Sycamore House,1809.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited t/a The Cedars,1576.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,The Cedars Care Services Limited t/a The Cedars,1365.65,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Vale Phoenix Limited,1080.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Vale Phoenix Limited,1117.54,Revenue
