Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150401,Brake Bros Limited,5931.11,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150401,Castell Howell Foods Limited,10053.55,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150671,Brake Bros Limited,3072.62,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150671,Castell Howell Foods Limited,2935.21,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150671,Chapple & Jenkins Limited,2080.44,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150671,Phil-a-Cup Limited T/A Argies Coffee,875.39,Revenue,Companies
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150671,The Real Wrap Co. Limited,786.36,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,11-Jun-18,154401,DairyLink UK Limited,10011.2,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215121,Turun UK Limited,1112.89,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,217909,Ategi Limited,1583.64,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,11-Jun-18,300600,Resilience Planning Solutions Limited,1340,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,11-Jun-18,300606,Pillar Software Limited,1522.8,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11-Jun-18,333013,Complete Weed Control (South Wales) Limited,2360,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11-Jun-18,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,2040.04,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11-Jun-18,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,2100,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,11-Jun-18,341156,Newsquest Media (Southern) Limited T/A Newsquest Midlands Wales & South West,576,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,11-Jun-18,349605,Pillar Software Limited,705,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,11-Jun-18,365803,A2B (South Wales) Limited,2160,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405100,L Mustoe Limited,2259.1,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405108,Pegasus Maintenance Services Limited,652,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405108,Unique Flooring (Wales) Limited,1200,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,7801.36,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,2799.54,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,1566.51,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,1566.51,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,22739.74,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal A Chymorth Gwalia Cyf,10731.2,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,9903.72,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,4248.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,9781.98,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,6844.8,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,6844.8,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Llamau Limited,10761.42,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Pobl Group Limited T/A Reach Supported Living,17764.24,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,11-Jun-18,422002,Pillar Software Limited,592.2,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,11-Jun-18,422130,Fire Safety Direct Limited,526,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,11-Jun-18,440530,Northgate Public Services (UK) Limited,803.72,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,11-Jun-18,440530,Northgate Public Services (UK) Limited,535.82,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,102593,Cardiff & Vale College,1993.8,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Cardiff County Council,5580,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101261,Peter Regan & Ptn t/a Sonic Alarm Systems,789,Revenue,Partnerships
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),548.2,Revenue,Professional Services
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,217909,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),536.25,Revenue,Professional Services
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,11-Jun-18,260160,Lorraine Williams,1744,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405100,Lyndon Mustoe,806.64,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101213,Oxford University Press,924.19,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,100805,New Directions (Education) Limited,655,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101005,Valley Education Services Limited,590.08,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101007,New Directions (Education) Limited,526,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,Celtic Teachers Limited,1704.56,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,Valley Education Services Limited,610.38,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103047,New Directions (Education) Limited,657.5,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103065,New Directions (Education) Limited,526,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103095,New Directions (Education) Limited,667.5,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103213,New Directions (Education) Limited,652.5,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103227,New Directions (Education) Limited,526,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103412,Apollo Teaching Services Limited,520,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,11-Jun-18,260150,Sanctuary Personnel Limited,1104,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Hafod Care Association Limited,3024.88,Revenue,Residential Homes
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Hafod Care Association Limited,5028,Revenue,Residential Homes
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Hafod Care Association Limited,10543.8,Revenue,Residential Homes
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101095,James Paget t/a Snappy Jack,962.8,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,104385,Steve Lewis t/a Play on Development,560,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,CATERING,11-Jun-18,150401,Russel Bishop t/a WR Bishop & Co,2525.23,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,11-Jun-18,359341,Terrance Pearson T/A TP Pearson & Son,646.4,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,216181,Sight Cymru,3552.08,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Atal Y Fro,7032.6,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Atal Y Fro,7292.75,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Atal Y Fro,3101.7,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal Cymru,3946.72,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal Cymru,3052.85,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal Cymru,2808.6,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal Cymru,4381.6,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Gofal Cymru,4871.25,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Taff Housing Association,9933.65,Revenue,Voluntary Organisations
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11-Jun-18,405301,Taff Housing Association,11580.1,Revenue,Voluntary Organisations
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101025,Academics Limited,669.1,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101025,First News (UK) Limited,510,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101025,Ikea Limited T/A Ikea Business,794.17,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101025,Screwfix Direct Limited t/a Trade UK,565.01,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101025,Timbermart UK Limited,877.51,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101032,The Consortium for Purchasing and Distribution Limited,526.67,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101055,Toshiba TEC UK Imaging Systems Limited,651.35,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101134,A & R Contract Cleaning Specialist Limited,1001.17,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101141,A & R Contract Cleaning Specialist Limited,1008.42,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101141,EDF Energy Plc,815.33,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101141,EDF Energy Plc,546.05,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101173,A & R Contract Cleaning Specialist Limited,1214.05,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101173,PHS Group Plc,1456.44,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101173,Pinnacle Office Equipment Limited,1403.62,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101180,EDF Energy Plc,551.36,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101213,DSG Retail Limited,569.85,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101216,CF Corporate Finance Limited,2499.98,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101221,A & R Contract Cleaning Specialist Limited,2125.35,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101221,Dwr Cymru Cyf,867.53,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101241,The Training Space Limited,2389.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101304,Chubb Fire & Security Limited,578.52,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101304,EDF Energy Plc,2750.26,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101304,Teachers2Parents Limited,1595,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101317,Glen Cleaning Company Limited,1010.35,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101317,Ministry of Furniture Limited,1046.9,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,102593,Brotour Limited,680,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,102593,Tower Leasing Limited,3290,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102632,Inspired Learners Limited,740,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102636,Empowering Learning Limited,1558.44,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102636,Empowering Learning Limited,1660.38,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102636,Merricks Private Transport Contractors Limited,5911.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102636,Merricks Private Transport Contractors Limited,540,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102652,Orbis Education and Care Limited,5552.08,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102652,Orbis Education and Care Limited,5714.58,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102701,Golley Slater Group Limited,730,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,12-Jun-18,130064,Trinity College London,825,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,12-Jun-18,130064,Trinity College London,825,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,190055,Gibbonsdown Childrens Centre Limited,750,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,217541,Care Management Group Limited,94681.72,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,217909,Consensus Support Services Limited t/a Ty Machen,2163.85,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,300640,Golley Slater Group Limited,574.47,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,12-Jun-18,319010,Golley Slater Group Limited,863.82,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,323684,Golley Slater Group Limited,2083.46,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,323685,Capita Property and Infrastructure Limited,2684.04,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325000,Garth Plant Hire Limited,885,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325000,Garth Plant Hire Limited,702.75,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325340,Calibre Contracting Limited,1077.89,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325340,Ran Hire and Sales Limited,559.2,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325345,Calibre Contracting Limited,769.33,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325894,Cemex UK Materials Limited,587.42,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,12-Jun-18,333013,Ace Site Services (UK) Limited,528,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,12-Jun-18,365763,Glamorgan Gem Limited,841.5,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,12-Jun-18,400050,Glamorgan Gem Limited,663,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,12-Jun-18,405305,Golley Slater Group Limited,863.81,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,12-Jun-18,405306,Golley Slater Group Limited,864.06,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,12-Jun-18,420211,Edson Print (Services) Limited,998,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,12-Jun-18,422003,Systemslink 2000 Limited,2245,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,12-Jun-18,460500,Tugbury Electrical Services Limited,2360,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,12-Jun-18,471911,Ace Catering Services Limited,1490,Revenue,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,12-Jun-18,831530,G.P.H.I.T (Integrated Services) Limited,19918.63,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,12-Jun-18,845003,ASW Property Services Limited,744.53,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,12-Jun-18,845003,ASW Property Services Limited,2482.7,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,12-Jun-18,845003,GKR Maintenance & Building Co. Limited,8569.44,Capital,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101241,Rhondda Cynon Taff County Borough Council,625,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101304,Eastern Shires Purchasing Organisation,977,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,12-Jun-18,260050,Dr Gerald McCarthy & Associates,4484.35,Revenue,Partnerships
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,12-Jun-18,260020,Thomas Kibling,4083.5,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Jun-18,102636,South Wales Association of Special School Headteachers,600,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,12-Jun-18,260150,The Fostering Network - Wales Office,600,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,12-Jun-18,260150,The Fostering Network - Wales Office,600,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,100802,New Directions (Education) Limited,510,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,100802,New Directions (Education) Limited,637.5,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,100805,New Directions (Education) Limited,655,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Jun-18,101141,Apollo Teaching Services Limited,700,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12-Jun-18,140119,Acorn Recruitment Limited,1432.6,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12-Jun-18,140119,Acorn Recruitment Limited,1498.72,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12-Jun-18,140131,Randstad Solutions Limited,104159.06,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,12-Jun-18,303910,Hays Specialist Recruitment Limited,615.68,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,12-Jun-18,303910,Hays Specialist Recruitment Limited,615.68,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,323686,Hays Specialist Recruitment Limited,640.64,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,12-Jun-18,325681,Hays Specialist Recruitment Limited,1154.03,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215486,Waverley Care Centre Limited,2052.62,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Baltimore Care Limited,526.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,538.41,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12-Jun-18,215489,HC-One Limited t/a Glanffrwd Care Home,7931.45,Revenue,Residential Homes
