Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365794,New Adventure Travel Limited,2266.92,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365796,New Adventure Travel Limited,47461,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365796,New Adventure Travel Limited,13142.5,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,04-Jun-18,405113,Interlet Residential Limited,650,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,04-Jun-18,405113,Knights Lettings Limited T/A Knights Estate Agents,635,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,04-Jun-18,405113,Knights Lettings Limited T/A Knights Estate Agents,675,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,04-Jun-18,407108,Trade & DIY Products Limited,1042,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,04-Jun-18,407120,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,2918.5,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04-Jun-18,420202,Better Mobility Limited,12893.5,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04-Jun-18,420220,CIPFA Business Limited,500,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04-Jun-18,421230,Quanta Training Limited,1755,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,04-Jun-18,440010,Quanta Training Limited,1170,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,04-Jun-18,440536,Quanta Training Limited,1170,Revenue,Companies
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,04-Jun-18,812194,Pinit Building & Civil Engineering Limited,596,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,AR CAPITAL ENGINEER,04-Jun-18,831210,Philips Lighting UK Limited,2545.48,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,04-Jun-18,837115,Geo Pollution Technologies UK Limited T/A GEM,2430.6,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1351.09,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1724.21,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1724.21,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1724.21,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1695.34,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1324.84,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1377.84,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1730.96,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1704.96,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1724.96,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1704.96,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,04-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1411.59,Capital,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,04-Jun-18,405113,Ian & Jackie Rogers,675,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,04-Jun-18,405113,Salvatore Cannatella,650,Revenue,Professional Services
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,04-Jun-18,471901,Swansea Bay Port Health Authority,2734,Revenue,Professional Services
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,04-Jun-18,471901,South Wales Fire and Rescue Service,500508,Revenue,Public Bodies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF SWPA PRECEPTS,04-Jun-18,475970,The Police and Crime Commissioner for South Wales,1140674,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,April Complete Care Solutions Limited,584,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,April Complete Care Solutions Limited,548.1,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,April Complete Care Solutions Limited,605.48,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,April Complete Care Solutions Limited,922.66,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,April Complete Care Solutions Limited,866.9,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325681,Hays Specialist Recruitment Limited,1143.99,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325681,Hays Specialist Recruitment Limited,1505.26,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,04-Jun-18,407118,James Andrews Recruitment Solutions Limited,940,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,04-Jun-18,319010,Ceri Williams t/a Mobile Tyre Services,2055.84,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,617.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,603.59,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,535.64,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,538.54,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,533.74,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,617.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,603.59,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,535.64,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,538.54,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cherish Cymru Limited,533.74,Revenue,agen
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,05-Jun-18,100107,ParentPay Limited,3807,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,05-Jun-18,100121,ParentPay Limited,3100.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05-Jun-18,101065,Upbeat Music and Arts Service Limited,1000,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,05-Jun-18,130045,EDF Energy Plc,679.11,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,05-Jun-18,130280,Portal Training Limited t/a Portal Educational Training Providers,694,Revenue,Companies
